Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonEC2,EBS:Gp3-IO-Read,EUW2-EBS:VolumeIOUsage.gp3,,05/28/23 19:00:00,05/28/23 20:00:00,206
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeP-IOPS.gp3,,05/28/23 19:00:00,05/28/23 20:00:00,0
AmazonEC2,RunInstances,EUW2-C3DataTransfer-Out-Bytes,,05/21/23 21:00:00,05/21/23 22:00:00,9256
AmazonEC2,AssociateAddressVPC,EUW2-ElasticIP:IdleAddress,,05/29/23 07:00:00,05/29/23 08:00:00,2
AmazonEC2,PublicIP-In,EUW2-APS1-AWS-In-Bytes,,05/28/23 18:00:00,05/28/23 19:00:00,112
AmazonEC2,AssociateAddressVPC,EUW2-ElasticIP:IdleAddress,,05/29/23 13:00:00,05/29/23 14:00:00,2
AmazonEC2,AssociateAddressVPC,EUW2-ElasticIP:IdleAddress,,05/29/23 15:00:00,05/29/23 16:00:00,0.4
AmazonEC2,EBS:Gp3-IO-Write,EUW2-EBS:VolumeIOUsage.gp3,,05/28/23 19:00:00,05/28/23 20:00:00,1248
AmazonEC2,RunInstances,EUW2-DataTransfer-Out-Bytes,,05/28/23 21:00:00,05/28/23 22:00:00,40
AmazonEC2,RunInstances,EUW2-DataTransfer-Out-Bytes,,05/22/23 21:00:00,05/22/23 22:00:00,6559
AmazonEC2,PublicIP-In,EUW2-APS1-AWS-In-Bytes,,05/28/23 19:00:00,05/28/23 20:00:00,84
AmazonEC2,AssociateAddressVPC,EUW2-ElasticIP:IdleAddress,,05/29/23 11:00:00,05/29/23 12:00:00,2
AmazonEC2,PublicIP-In,EUW2-EUC1-AWS-In-Bytes,,05/28/23 18:00:00,05/28/23 19:00:00,240
AmazonEC2,AssociateAddressVPC,EUW2-ElasticIP:IdleAddress,,05/29/23 00:00:00,05/29/23 01:00:00,2
AmazonEC2,AssociateAddressVPC,EUW2-ElasticIP:IdleAddress,,05/29/23 08:00:00,05/29/23 09:00:00,2
AmazonEC2,PublicIP-Out,EUW2-DataTransfer-Regional-Bytes,,05/26/23 22:00:00,05/26/23 23:00:00,5928
AmazonEC2,RunInstances,EUW2-DataTransfer-Out-Bytes,,05/21/23 22:00:00,05/21/23 23:00:00,30029
AmazonEC2,CreateVolume-Gp3,EUW2-EBS:VolumeP-Throughput.gp3,,05/26/23 22:00:00,05/26/23 23:00:00,0
AmazonEC2,RunInstances,EUW2-BoxUsage:t2.micro,,05/28/23 19:00:00,05/28/23 20:00:00,0.507222
AmazonEC2,RunInstances,EUW2-DataTransfer-Out-Bytes,,05/21/23 23:00:00,05/22/23 00:00:00,140207
AmazonEC2,EBS:Gp3-IO-Write,EUW2-EBS:VolumeIOUsage.gp3,,05/26/23 23:00:00,05/27/23 00:00:00,1951
